Word	Lemma	Category
remblaierez	remblayer	v
remblaieriez	remblayer	v
remblaierions	remblayer	v
remblaierons	remblayer	v
remblaieront	remblayer	v
remblaies	remblayer	v
remise	remiser	v
remises	remiser	v
remmailleuse	remmailleur	nc
remmailleuses	remmailleur	nc
rengrène	rengréner	v
rengrènent	rengréner	v
rengrènes	rengréner	v
rentrais	rentraire	v
repaie	repayer	v
repaient	repayer	v
repaiera	repayer	v
repaierai	repayer	v
repaieraient	repayer	v
repaierais	repayer	v
repaierait	repayer	v
repaieras	repayer	v
repaierez	repayer	v
repaieriez	repayer	v
repaierions	repayer	v
repaierons	repayer	v
repaieront	repayer	v
repaies	repayer	v
réparations	réparations	nc
repasseuse	repasseur	nc
repasseuses	repasseur	nc
reprise	repriser	v
reprises	repriser	v
résoute	résoudre	v
résoutes	résoudre	v
ressaie	ressayer	v
ressaient	ressayer	v
ressaiera	ressayer	v
ressaierai	ressayer	v
ressaieraient	ressayer	v
ressaierais	ressayer	v
ressaierait	ressayer	v
ressaieras	ressayer	v
ressaierez	ressayer	v
ressaieriez	ressayer	v
ressaierions	ressayer	v
ressaierons	ressayer	v
ressaieront	ressayer	v
ressaies	ressayer	v
restaus	restaurant	nc
resto	restaurant	nc
restos	restaurant	nc
réu	réunion	nc
rev'là	revoilà	v
rêvasse	rêver	v
rêvassent	rêver	v
rêvasses	rêver	v
rêvassiez	rêver	v
rêvassions	rêver	v
revêtis	revêtir	v
revêtit	revêtir	v
revirent	revirer	v
revis	revivre	v
revit	revivre	v
rieuse	rieur	nc
rieuses	rieur	nc
rince-bouche	rince-bouche	nc
rinceuse	rinceur	nc
rinceuses	rinceur	nc
rira	raller	v
rirai	raller	v
riraient	raller	v
rirais	raller	v
rirait	raller	v
riras	raller	v
rirez	raller	v
ririez	raller	v
ririons	raller	v
rirons	raller	v
riront	raller	v
riveuse	riveur	nc
riveuses	riveur	nc
RLs	ressource	nc
rock	rock'n'roll	nc
rock'n'roll	rock'n'roll	adj
rock and roll	rock'n'roll	adj
rock and roll	rock'n'roll	nc
rogneuse	rogneur	nc
rogneuses	rogneur	nc
romaine	romain	nc
romaines	romain	nc
rosière	rosier	nc
rosières	rosier	nc
roulante	roulant	nc
roulantes	roulant	nc
rouleuse	rouleur	nc
rouleuses	rouleur	nc
rousse	roux	nc
rousses	roux	nc
routière	routier	nc
routières	routier	nc
rushes	rushes	nc
rushs	rush	nc
s.f	science-fiction	nc
sabine	sabin	nc
sables	sables	nc
sableuse	sableur	nc
sableuses	sableur	nc
sabotière	sabotier	nc
sabotières	sabotier	nc
sabreuse	sabreur	nc
sabreuses	sabreur	nc
saharienne	saharien	nc
sahariennes	saharien	nc
saisie	saisi	nc
saisies	saisi	nc
salami	salami	nc
saleuse	saleur	nc
saleuses	saleur	nc
salonnière	salonnier	nc
salonnières	salonnier	nc
san-benito	san-benito	nc
sanatoria	sanatorium	nc
sandwichs	sandwich	nc
sanguine	sanguin	nc
sanguines	sanguin	nc
sardinière	sardinier	nc
sardinières	sardinier	nc
saucière	saucier	nc
saucières	saucier	nc
saunière	saunier	nc
saunières	saunier	nc
saura	saurer	v
saurai	saurer	v
sauraient	saurer	v
saurais	saurer	v
saurait	saurer	v
sauras	saurer	v
saurez	saurer	v
sauriez	saurer	v
saurions	saurer	v
saurons	saurer	v
sauteuse	sauteur	nc
sauteuses	sauteur	nc
sauts	sauts	nc
sauvagesse	sauvage	nc
savonnière	savonnier	nc
savonnières	savonnier	nc
scieuse	scieur	nc
scieuses	scieur	nc
scratchs	scratch	nc
séant	seoir	v
seconde	second	nc
secondes	second	nc
seins	seins	nc
selles	selles	nc
sels	sels	nc
sensitive	sensitif	nc
sensitives	sensitif	nc
seps	seps	nc
sequiturque	sequiturque	adj
sequunturque	sequiturque	adj
serine	serin	nc
serines	serin	nc
sertisseuse	sertisseur	nc
sertisseuses	sertisseur	nc
servante	servant	nc
servante	serviteur	nc
servantes	servant	nc
servantes	serviteur	nc
serveuse	serveur	nc
serveuses	serveur	nc
si près d'	si près de	prep
si près d'__prep	si près de	prep
si près de__prep	si près de	prep
sicilienne	sicilien	nc
siciliennes	sicilien	nc
siens	siens	nc
silésienne	silésien	nc
silésiennes	silésien	nc
site internet	site internet	nc
site Internet	site internet	nc
site Web	site internet	nc
sites internet	site internet	nc
sites Internet	site internet	nc
sites Web	site internet	nc
sketchs	sketch	nc
skin-head	skinhead	nc
skin-heads	skinhead	nc
smashs	smash	nc
socials	social	adj
sol	sol	nc
soli	solo	nc
somali	somali	nc
somalis	somali	nc
sommes	sommer	v
sondeuse	sondeur	nc
sondeuses	sondeur	nc
soprani	soprano	nc
sorcière	sorcier	nc
sorcières	sorcier	nc
soudeuse	soudeur	nc
soudeuses	soudeur	nc
souffleuse	souffleur	nc
souffleuses	souffleur	nc
soufreuse	soufreur	nc
soufreuses	soufreur	nc
sourde	sourd	nc
sourdes	sourd	nc
sous l'effet d'	sous l'effet de	prep
sous l'effet d'__prep	sous l'effet de	prep
sous l'effet de__prep	sous l'effet de	prep
sous le coup d'	sous le coup de	prep
sous le coup d'__prep	sous le coup de	prep
sous le coup de__prep	sous le coup de	prep
spaghetti	spaghetti	nc
spéléo	spéléologue	nc
sprinters	sprinter	nc
sprinteur	sprinter	nc
squatter	squatteur	nc
squatters	squatteur	nc
stemm	stem	nc
stemms	stem	nc
stp	s'il te plaît	adv
suceuse	suceur	nc
suceuses	suceur	nc
sue	suer	v
sues	suer	v
suis	suivre	v
suissesse	suisse	nc
suissesses	suisse	nc
sulfateuse	sulfateur	nc
sulfateuses	sulfateur	nc
summum	summum	nc
supernovae	supernova	nc
supporters	supporter	nc
supporteur	supporter	nc
surfais	surfaire	v
surfait	surfaire	v
surfasse	surfaire	v
surfassent	surfaire	v
surfasses	surfaire	v
surfassiez	surfaire	v
surfassions	surfaire	v
surfera	surfaire	v
surferai	surfaire	v
surferaient	surfaire	v
surferais	surfaire	v
surferait	surfaire	v
surferas	surfaire	v
surferez	surfaire	v
surferiez	surfaire	v
surferions	surfaire	v
surferons	surfaire	v
surferont	surfaire	v
surpaie	surpayer	v
surpaient	surpayer	v
surpaiera	surpayer	v
surpaierai	surpayer	v
surpaieraient	surpayer	v
surpaierais	surpayer	v
surpaierait	surpayer	v
surpaieras	surpayer	v
surpaierez	surpayer	v
surpaieriez	surpayer	v
surpaierions	surpayer	v
surpaierons	surpayer	v
surpaieront	surpayer	v
surpaies	surpayer	v
svp	s'il vous plaît	adv
svt	souvent	adv
syncro	synchronisation	nc
systèmes-experts	système-expert	nc
taf	travail	nc
talonnière	talonnier	nc
talonnières	talonnier	nc
tamiseuse	tamiseur	nc
tamiseuses	tamiseur	nc
tape-cul	tape-cul	nc
tapes	tapes	nc
tapissaient	tapir	v
tapissais	tapir	v
tapissait	tapir	v
tapissant	tapir	v
tapisse	tapir	v
tapissent	tapir	v
tapisses	tapir	v
tapissez	tapir	v
tapissière	tapissier	nc
tapissières	tapissier	nc
tapissiez	tapir	v
tapissions	tapir	v
tapissons	tapir	v
taraudeuse	taraudeur	nc
taraudeuses	taraudeur	nc
tarifiez	tarifier	v
tarifions	tarifier	v
taupière	taupier	nc
taupières	taupier	nc
taxis	taxis	nc
tchô	ciao	pres
teilleuse	teilleur	nc
teilleuses	teilleur	nc
teinte	teinter	v
teintes	teinter	v
teneur	teneur	nc
teneurs	teneur	nc
téra	téra-octet	nc
téras	téra-octet	nc
terrasse	terrer	v
terrassent	terrer	v
terrasses	terrer	v
terrassiez	terrer	v
terrassions	terrer	v
territorials	territorial	adj
thaïs	thaïs	nc
tigresse	tigre	nc
tigresses	tigre	nc
tireuse	tireur	nc
tireuses	tireur	nc
tjrs	toujours	adv
tjs	toujours	adv
tondeuse	tondeur	nc
tondeuses	tondeur	nc
totals	total	nc
toupilleuse	toupilleur	nc
toupilleuses	toupilleur	nc
tourbière	tourbier	nc
tourbières	tourbier	nc
tourtereaux	tourtereaux	nc
tous-petits	tout-petit	adj
tout au bout d'	tout au bout de	prep
tout au bout d'__prep	tout au bout de	prep
tout au bout de__prep	tout au bout de	prep
tout au long d'	tout au long de	prep
tout au long d'__prep	tout au long de	prep
tout au long de__prep	tout au long de	prep
tout en haut d'	tout en haut de	prep
tout en haut d'__prep	tout en haut de	prep
tout en haut de__prep	tout en haut de	prep
tout plein d'	tout plein de	prep
tout plein d'__prep	tout plein de	prep
tout plein de__prep	tout plein de	prep
tout près d'	tout près de	prep
tout près d'__prep	tout près de	prep
tout près de__prep	tout près de	prep
traductrice	traducteur	nc
traductrices	traducteur	nc
traînasse	traîner	v
traînassent	traîner	v
traînasses	traîner	v
traînassiez	traîner	v
traînassions	traîner	v
traite	traire	v
traites	traire	v
traits	traits	nc
trameuse	trameur	nc
trameuses	trameur	nc
trancheuse	trancheur	nc
trancheuses	trancheur	nc
transmissions	transmissions	nc
transports	transports	nc
travailleuse	travailleur	nc
travailleuses	travailleur	nc
travaux	travaux	nc
trayeuse	trayeur	nc
trayeuses	trayeur	nc
tréfileuse	tréfileur	nc
tréfileuses	tréfileur	nc
trembleuse	trembleur	nc
trembleuses	trembleur	nc
tricoteuse	tricoteur	nc
tricoteuses	tricoteur	nc
trijumeaux	trijumeaux	nc
trotteuse	trotteur	nc
trotteuses	trotteur	nc
troubles	troubles	nc
trousses	trousses	nc
trulli	trullo	nc
ts	tout	adj
tt	tout	adj
tte	tout	adj
ttes	tout	adj
tue	taire	v
tues	taire	v
tupi	tupi	nc
turneps	turneps	nc
tyrolienne	tyrolien	nc
tyroliennes	tyrolien	nc
usages	usages	nc
v'là	voilà	v
vals	val	nc
valseuse	valseur	nc
valseuses	valseur	nc
vaux	vau	nc
végétations	végétations	nc
veilleuse	veilleur	nc
veilleuses	veilleur	nc
vendangeuse	vendangeur	nc
vendangeuses	vendangeur	nc
venderesse	vendeur	nc
Venezuela	Vénézuela	np
vénitienne	vénitien	nc
vénitiennes	vénitien	nc
vents	vents	nc
venue	venu	nc
venues	venu	nc
vermoulaient	vermoudre	v
vermoulais	vermoudre	v
vermoulait	vermoudre	v
vermoulant	vermoudre	v
vermoule	vermoudre	v
vermoulent	vermoudre	v
vermoules	vermoudre	v
vermoulez	vermoudre	v
vermouliez	vermoudre	v
vermoulions	vermoudre	v
vermoulons	vermoudre	v
vernis	verni	nc
vernissaient	vernisser	v
vernissais	vernisser	v
vernissait	vernisser	v
vernissant	vernisser	v
vernisse	vernisser	v
vernissent	vernisser	v
vernisses	vernisser	v
vernissez	vernisser	v
vernissiez	vernisser	v
vernissions	vernisser	v
vernissons	vernisser	v
verres	verres	nc
vers	vers	nc
versus	vs	prep
vêtis	vêtir	v
vêtit	vêtir	v
veuve	veuf	nc
veuves	veuf	nc
veux	vouloir	v
vi	oui	adv
vichy	vichy	nc
vieil	vieux	adj
vieil	vieux	nc
vieille	vieux	nc
vieilles	vieux	nc
vielleuse	vielleur	nc
vielleuses	vielleur	nc
Viêt-Nam	Viêt-Nam	np
virent	virer	v
vis	voir	v
vis-à-vis d'	vis-à-vis de	prep
vis-à-vis d'__prep	vis-à-vis de	prep
vis-à-vis de__prep	vis-à-vis de	prep
visiteuse	visiteur	nc
visiteuses	visiteur	nc
visse	voir	v
vissent	voir	v
visses	voir	v
vissiez	voir	v
vissions	voir	v
vit	voir	v
vitrière	vitrier	nc
vitrières	vitrier	nc
vivants	vivants	nc
vivi	oui	adv
voili	voilà	pres
voilou	voilà	pres
voisins	voisins	nc
volée	volé	nc
volées	volé	nc
voui	oui	adv
voulez	vouloir	v
vs.	vs	prep
walk-over	walk-over	nc
water-closets	water-closets	nc
wattmen	wattman	nc
white-spirit	white-spirit	nc
yachtmen	yachtman	nc
yachtsmen	yachtsman	nc
yachtswomen	yachtswoman	nc
yachtwomen	yachtwoman	nc
yeah	oui	adv
yeux	yeux	nc
zézaie	zézayer	v
zézaient	zézayer	v
zézaiera	zézayer	v
zézaierai	zézayer	v
zézaieraient	zézayer	v
zézaierais	zézayer	v
zézaierait	zézayer	v
zézaieras	zézayer	v
zézaierez	zézayer	v
zézaieriez	zézayer	v
zézaierions	zézayer	v
zézaierons	zézayer	v
zézaieront	zézayer	v
zézaies	zézayer	v
zingara	zingaro	nc
